inspector,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,notes
analyst 3,https://github.com/apache/dubbo/pull/2640,c9902bcb4243acb5542d27b454997ac038b198af,https://github.com/apache/dubbo/commit/c9902bcb4243acb5542d27b454997ac038b198af,TRUE,,,,,
analyst 3,https://github.com/apache/dubbo/pull/2640,9e8ce5132fa4b7a74cab38b3ad7d8cbf7e64770f,https://github.com/apache/dubbo/commit/9e8ce5132fa4b7a74cab38b3ad7d8cbf7e64770f,FALSE,Extract Attribute,private SPRING_CONTEXT_LISTENER : String in class org.apache.dubbo.config.spring.initializer.DubboContextListener,VERDADEIRO,VERDADEIRO,The reviewer's comment indirectly lead the refactoring.
analyst 3,https://github.com/apache/dubbo/pull/2640,beade907375afc9a47d65ea41d527e757f2b8b7f,https://github.com/apache/dubbo/commit/beade907375afc9a47d65ea41d527e757f2b8b7f,FALSE,,,,,
analyst 3,https://github.com/apache/dubbo/pull/2640,ea9fa5a0d2968766d2f73454d0c1d3f5bc7500ab,https://github.com/apache/dubbo/commit/ea9fa5a0d2968766d2f73454d0c1d3f5bc7500ab,FALSE,,,,,
analyst 1,https://github.com/apache/kafka/pull/6283,eb859861e904f982e987f151257f220608e66dca,https://github.com/apache/kafka/commit/eb859861e904f982e987f151257f220608e66dca,TRUE,Rename Method,public testConsumerError() : void renamed to public testPollConsumerError() : void in class org.apache.kafka.connect.util.KafkaBasedLogTest,,,
analyst 1,https://github.com/apache/kafka/pull/6283,eb859861e904f982e987f151257f220608e66dca,https://github.com/apache/kafka/commit/eb859861e904f982e987f151257f220608e66dca,TRUE,Rename Parameter,exception : KafkaException to pollException : KafkaException in method public setPollException(pollException KafkaException) : void in class org.apache.kafka.clients.consumer.MockConsumer,,,
analyst 1,https://github.com/apache/kafka/pull/6283,eb859861e904f982e987f151257f220608e66dca,https://github.com/apache/kafka/commit/eb859861e904f982e987f151257f220608e66dca,TRUE,Rename Method,public setException(exception KafkaException) : void renamed to public setPollException(pollException KafkaException) : void in class org.apache.kafka.clients.consumer.MockConsumer,,,
analyst 1,https://github.com/apache/kafka/pull/6283,eb859861e904f982e987f151257f220608e66dca,https://github.com/apache/kafka/commit/eb859861e904f982e987f151257f220608e66dca,TRUE,Rename Attribute,exception : KafkaException to pollException : KafkaException in class org.apache.kafka.clients.consumer.MockConsumer,,,
analyst 1,https://github.com/apache/kafka/pull/6283,43c4fd9505202bd7ead61513212e16da3a211a77,https://github.com/apache/kafka/commit/43c4fd9505202bd7ead61513212e16da3a211a77,FALSE,,,,,Rename Method did not detected by RefactoringMiner
analyst 1,https://github.com/apache/kafka/pull/6283,1c8285ae751a0ffafe50fb71a3fee6eb92006a6b,https://github.com/apache/kafka/commit/1c8285ae751a0ffafe50fb71a3fee6eb92006a6b,FALSE,,,,,
analyst 1,https://github.com/apache/kafka/pull/6283,818923c887a2e8c5c72625a717befe68260bb17d,https://github.com/apache/kafka/commit/818923c887a2e8c5c72625a717befe68260bb17d,FALSE,Rename Parameter,pollException : KafkaException to exception : KafkaException in method public setPollException(exception KafkaException) : void in class org.apache.kafka.clients.consumer.MockConsumer,TRUE,FALSE,"There is a review comment in the commit's parent regarding exceptions, but it seems an improvement done by the author"
analyst 1,https://github.com/apache/kafka/pull/6283,045131130aec48970581bcbb7353cdb01afffe74,https://github.com/apache/kafka/commit/045131130aec48970581bcbb7353cdb01afffe74,FALSE,,,,,
