repo,pr_number,commit,initial_flag,refactoring_type
apache/flink,7971,da35b442217cef0efed8e6bca41a02792501e6ed,True,
apache/flink,7971,0f5934e2771e94c2fb5ab2571b606df415603f1d,False,
apache/flink,7971,f78e481f34c9e30de3a0d2816dd1c8de5db9a452,False,Rename Parameter
apache/flink,7971,aec6a1366bdaa9c613bb98e559895ea9c2b25209,False,Rename Method
apache/dubbo,3299,770c252549d6a22dd682f1d051b2b4ac4d31be53,True,
apache/dubbo,3299,e2e550096a859a1496abe489f6e98c49418390b4,True,
apache/dubbo,3299,9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,False,Replace Variable With Attribute
apache/dubbo,3299,9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,False,Replace Variable With Attribute
apache/dubbo,3299,9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,False,Replace Variable With Attribute
apache/dubbo,3299,9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,False,Replace Variable With Attribute
apache/dubbo,3299,2393ea120e3f5c9c021a00e2e02ba01e03d5acce,False,Replace Variable With Attribute
apache/dubbo,3299,2393ea120e3f5c9c021a00e2e02ba01e03d5acce,False,Change Variable Type
apache/fluo,837,e37c22bb8ef708815c83398287331a42bd737c22,True,
apache/fluo,837,48587dcc24b4693edcf32cdd3ef8bfb99f48ebb7,False,Rename Method
apache/fluo,837,48587dcc24b4693edcf32cdd3ef8bfb99f48ebb7,False,Rename Method
apache/fluo,837,48587dcc24b4693edcf32cdd3ef8bfb99f48ebb7,False,Change Parameter Type
apache/fluo,837,48587dcc24b4693edcf32cdd3ef8bfb99f48ebb7,False,Rename Method
apache/fluo,837,48587dcc24b4693edcf32cdd3ef8bfb99f48ebb7,False,Change Parameter Type
apache/fluo,837,48587dcc24b4693edcf32cdd3ef8bfb99f48ebb7,False,Rename Method
apache/fluo,837,48587dcc24b4693edcf32cdd3ef8bfb99f48ebb7,False,Rename Method
apache/fluo,837,48587dcc24b4693edcf32cdd3ef8bfb99f48ebb7,False,Rename Method
apache/fluo,837,48587dcc24b4693edcf32cdd3ef8bfb99f48ebb7,False,Rename Method
apache/beam,4460,ea45b814e075f7ed4508d2df988e1e74abcb84ea,True,Change Return Type
apache/beam,4460,ea45b814e075f7ed4508d2df988e1e74abcb84ea,True,Change Parameter Type
