repo,pr_number,category,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,floss_refactoring_flag,notes
apache/flink,7971,refactoring-inducing PR,https://github.com/apache/flink/pull/7971,da35b442217cef0efed8e6bca41a02792501e6ed,https://github.com/apache/flink/commit/da35b442217cef0efed8e6bca41a02792501e6ed,True,,,,,,PR comprises corrective changes (fixing faults) | A flinkbot does a checklist and suggests a PR review guide.
apache/flink,7971,refactoring-inducing PR,https://github.com/apache/flink/pull/7971,0f5934e2771e94c2fb5ab2571b606df415603f1d,https://github.com/apache/flink/commit/0f5934e2771e94c2fb5ab2571b606df415603f1d,False,,,,,,This commit addresses review comments regarding code aesthetics.
apache/flink,7971,refactoring-inducing PR,https://github.com/apache/flink/pull/7971,f78e481f34c9e30de3a0d2816dd1c8de5db9a452,https://github.com/apache/flink/commit/f78e481f34c9e30de3a0d2816dd1c8de5db9a452,False,Rename Parameter,parallelism : int to expectedSubmitCount : int in method public InteractionsCountingTaskManagerGateway(expectedSubmitCount int) in class org.apache.flink.runtime.executiongraph.InteractionsCountingTaskManagerGateway,true,false,false,Self-affirmed refactoring | Committed by someone other than PR's author
apache/flink,7971,refactoring-inducing PR,https://github.com/apache/flink/pull/7971,aec6a1366bdaa9c613bb98e559895ea9c2b25209,https://github.com/apache/flink/commit/aec6a1366bdaa9c613bb98e559895ea9c2b25209,False,Rename Method,package waitAllTasksSubmitted() : void renamed to package waitUntilAllTasksAreSubmitted() : void in class org.apache.flink.runtime.executiongraph.InteractionsCountingTaskManagerGateway,true,false,false,Self-affirmed refactoring | Committed by someone other than PR's author
apache/dubbo,3299,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3299,770c252549d6a22dd682f1d051b2b4ac4d31be53,https://github.com/apache/dubbo/commit/770c252549d6a22dd682f1d051b2b4ac4d31be53,True,,,,,,PR comprises perfective changes (optmization) | No bot.
apache/dubbo,3299,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3299,e2e550096a859a1496abe489f6e98c49418390b4,https://github.com/apache/dubbo/commit/e2e550096a859a1496abe489f6e98c49418390b4,True,,,,,,
apache/dubbo,3299,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3299,9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,https://github.com/apache/dubbo/commit/9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,False,Replace Variable With Attribute,t : List<Timeout> to tasks : List<Timeout> in method private startIdleCheckTask() : void in class org.apache.dubbo.remoting.exchange.support.header.HeaderExchangeClient,true,true,false,"Concise review comments addressing logic | reviewer asked if necessary to keep object inside map, instead of just keeping instance, this caused some refactorings to occur."
apache/dubbo,3299,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3299,9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,https://github.com/apache/dubbo/commit/9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,False,Replace Variable With Attribute,t : List<Timeout> to tasks : List<Timeout> in method private doClose() : void in class org.apache.dubbo.remoting.exchange.support.header.HeaderExchangeClient,true,true,false,"Concise review comments addressing logic | reviewer asked if necessary to keep object inside map, instead of just keeping instance, this caused some refactorings to occur."
apache/dubbo,3299,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3299,9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,https://github.com/apache/dubbo/commit/9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,False,Replace Variable With Attribute,t : List<Timeout> to tasks : List<Timeout> in method private cancelCloseTimeout() : void in class org.apache.dubbo.remoting.exchange.support.header.HeaderExchangeServer,true,true,false,"Concise review comments addressing logic | reviewer asked if necessary to keep object inside map, instead of just keeping instance, this caused some refactorings to occur."
apache/dubbo,3299,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3299,9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,https://github.com/apache/dubbo/commit/9cb5f96a5fe3f7df1daa9cba6b15e17d406949f7,False,Replace Variable With Attribute,t : List<Timeout> to tasks : List<Timeout> in method private startIdleCheckTask() : void in class org.apache.dubbo.remoting.exchange.support.header.HeaderExchangeServer,true,true,false,"Concise review comments addressing logic | reviewer asked if necessary to keep object inside map, instead of just keeping instance, this caused some refactorings to occur."
