repo,pr_number,has_refactorings,n_changed_files,n_reviewers,length_discussion,n_comments,n_review_comments,n_additions,n_deletions,created_at,merged_at,pr_title,pr_labels,n_sub_commits,n_sub_file_changes,n_sub_additions,n_sub_deletions,n_refactorings,time_to_merge
apache/beam,6261,True,8,3,30,22,8,477,174,2018-08-21 23:25:47,2018-08-28 00:13:11,Add Bigquery Datataflow integration test.,[],14,33,413,285,14,6
apache/cloudstack,2071,True,10,4,36,26,10,87,87,2017-04-27 10:37:27,2017-05-02 05:41:33,CLOUDSTACK-9815 move CertService to more generic location,['status:ready-for-merge'],2,16,16,16,5,4
apache/cloudstack,3454,True,12,3,31,25,6,891,83,2019-07-02 06:03:29,2019-07-13 07:22:49,Add support for new heuristics based VM Deployement for admins,"['component:UI', 'type:enhancement']",3,7,47,38,5,11
apache/dubbo,3654,True,4,2,4,2,2,115,19,2019-03-14 07:35:21,2019-03-19 14:15:04,optimize DefaultTpsLimiter,[],3,6,97,17,1,5
apache/flink,8222,True,14,6,43,6,37,1172,23,2019-04-19 05:53:50,2019-04-25 11:48:32,[FLINK-11518] [table] Add partition related catalog APIs and implement them in GenericInMemoryCatalog,"['component=TableSQL/API', 'review=description?']",5,29,605,391,55,6
apache/incubator-iceberg,119,True,7,2,31,5,26,313,8,2019-03-04 03:30:48,2019-03-16 00:50:37,Split files when planning scan tasks,[],6,18,294,330,11,11
apache/incubator-iceberg,183,True,5,3,13,4,9,184,40,2019-05-09 14:23:10,2019-05-10 22:45:45,"Fix reading of Iceberg Parquet write properties for row group, page aÃÂ¢ÃÂÃÂ¦",[],2,5,143,92,7,1
apache/kafka,4735,True,5,4,23,3,20,191,43,2018-03-19 20:21:10,2018-04-18 16:18:46,KAFKA-3365 Add a documentation field for types and update doc generation,[],5,8,96,104,17,29
apache/kafka,4757,True,8,3,18,14,4,154,13,2018-03-22 17:02:26,2018-04-06 18:21:41,Trogdor: Added commonClientConf and adminClientConf to workload specs,[],9,29,207,94,10,15
apache/kafka,5590,True,5,3,29,12,17,128,182,2018-08-29 22:00:48,2018-08-31 20:13:43,MINOR: single Jackson serde for PageViewTypedDemo,[],4,7,81,222,1,1
apache/kafka,6657,True,3,3,19,9,10,91,17,2019-04-30 22:08:15,2019-05-04 14:44:19,[HOT FIX] in-memory store behavior should match rocksDB,['streams'],4,7,80,49,1,3
apache/servicecomb-java-chassis,678,True,12,2,49,3,46,540,45,2018-04-26 11:26:21,2018-06-20 08:44:39,[SCB-506] Report the service governance event ,[],9,47,586,369,27,54
apache/usergrid,102,True,86,2,4,2,2,4517,838,2014-11-19 22:21:46,2014-11-23 12:36:22,Usergrid 250 buffer size fix,[],10,133,4485,1866,54,3
