repo,pr_number,category,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,floss_refactoring_flag,direct_review_comment_flag,discussion_flag,rationale_flag,notes,
apache/accumulo,151,refactoring-inducing PR,https://github.com/apache/accumulo/pull/151,8611f1c1a4a03fd34f8e201104e2b11f24168c49,https://github.com/apache/accumulo/commit/8611f1c1a4a03fd34f8e201104e2b11f24168c49,True,,,,,,,,,,
apache/accumulo,151,refactoring-inducing PR,https://github.com/apache/accumulo/pull/151,0f1bc29b682c574b544c2eee366fa8ae1f53fb43,https://github.com/apache/accumulo/commit/0f1bc29b682c574b544c2eee366fa8ae1f53fb43,True,,,,,,,,,,
apache/accumulo,151,refactoring-inducing PR,https://github.com/apache/accumulo/pull/151,d2b1ddc3b42dde1550000244c8bdc67c98d31c07,https://github.com/apache/accumulo/commit/d2b1ddc3b42dde1550000244c8bdc67c98d31c07,False,Extract Variable,instance : Instance in method public execute(args String[]) : void from class org.apache.accumulo.server.init.Initialize,true,false,false,false,false,false,minor review comment about an error message | review comments on how to deal with potential breaks of Apache's automatic provisioning tools,
apache/accumulo,151,refactoring-inducing PR,https://github.com/apache/accumulo/pull/151,d2b1ddc3b42dde1550000244c8bdc67c98d31c07,https://github.com/apache/accumulo/commit/d2b1ddc3b42dde1550000244c8bdc67c98d31c07,False,Rename Variable,userEnteredSecret : String to userEnteredName : String in method public execute(args String[]) : void in class org.apache.accumulo.server.init.Initialize,true,false,false,false,false,false,Idem,
apache/kafka,5946,refactoring-inducing PR,https://github.com/apache/kafka/pull/5946,8accf70c1e13a2835f133f10bfec96d313558bff,https://github.com/apache/kafka/commit/8accf70c1e13a2835f133f10bfec96d313558bff,True,,,,,,,,,,
apache/kafka,5946,refactoring-inducing PR,https://github.com/apache/kafka/pull/5946,2aad0a6cffe01f043589ed694e96c5edbbed5cc6,https://github.com/apache/kafka/commit/2aad0a6cffe01f043589ed694e96c5edbbed5cc6,True,,,,,,,,,,
apache/kafka,5946,refactoring-inducing PR,https://github.com/apache/kafka/pull/5946,9570bc8f484592ec288a6e91c747e48dcd6d3fa0,https://github.com/apache/kafka/commit/9570bc8f484592ec288a6e91c747e48dcd6d3fa0,False,,,,,,,,,,
apache/kafka,5946,refactoring-inducing PR,https://github.com/apache/kafka/pull/5946,8f6eed132fde9810bd530b6af75e4aea40a34965,https://github.com/apache/kafka/commit/8f6eed132fde9810bd530b6af75e4aea40a34965,False,,,,,,,,,,
apache/kafka,5946,refactoring-inducing PR,https://github.com/apache/kafka/pull/5946,46e56c450bffabdff7c432dcac919f85b116cd00,https://github.com/apache/kafka/commit/46e56c450bffabdff7c432dcac919f85b116cd00,False,Rename Variable,message : int to messages : int in method public shouldRecoverFromOffsetOutOfRangeExceptionAndRestoreFromStart() : void in class org.apache.kafka.streams.processor.internals.StoreChangelogReaderTest,true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,5946,refactoring-inducing PR,https://github.com/apache/kafka/pull/5946,d6d58a76578be2fd1795591543901519865c9065,https://github.com/apache/kafka/commit/d6d58a76578be2fd1795591543901519865c9065,False,,,,,,,,,,
